day,symbol,strategy,spot,expiry_spot,pnl_before_fees,fees,pnl_after_fees
D0129,BTC,iron_condor,76722.36,73609.23,-298.41,48.7,-347.11
D0130,BTC,long_strangle,73609.23,73291.26,-813.4,33.59,-846.99
D0131,BTC,long_strangle,73291.26,74002.35,-811.64,33.52,-845.16
D0132,BTC,iron_condor,74002.35,78134.27,-1178.17,52.36,-1230.53
D0133,BTC,long_strangle,78134.27,74080.01,1333.41,61.81,1271.6
D0134,BTC,long_strangle,74080.01,76383.25,-638.84,45.65,-684.49
D0135,BTC,long_strangle,76383.25,77776.71,-903.01,37.29,-940.3
D0136,BTC,long_strangle,77776.71,81574.0,712.15,66.66,645.49
D0137,BTC,long_strangle,81574.0,83378.47,-880.29,36.36,-916.65
D0138,BTC,long_strangle,83378.47,83473.76,-902.89,37.29,-940.18
D0139,BTC,iron_condor,83473.76,82076.89,344.22,26.24,317.98
D0140,BTC,iron_condor,82076.89,78882.84,-379.02,50.68,-429.7
D0141,BTC,iron_condor,78882.84,79329.33,327.32,25.24,302.08
D0142,BTC,iron_condor,79329.33,78814.3,329.1,25.37,303.73
D0143,BTC,iron_condor,78814.3,83935.51,-1266.79,80.91,-1347.7
D0144,BTC,iron_condor,83935.51,82299.58,325.43,22.14,303.29
D0145,BTC,iron_condor,82299.58,83090.88,323.14,22.47,300.67
D0146,BTC,iron_condor,83090.88,79056.8,-1231.96,50.48,-1282.43
D0147,BTC,iron_condor,79056.8,78042.52,313.94,22.27,291.67
